Abk;Stimmen;Kanton;Kantonsnummer;Bei­tritt;Hauptort;Ein­wohner;Fläche;Ein­wohnerdichte;Amtssprache
AG;2;Aargau;19;1803;Aarau;670'050;1'404;477;Deutsch
AR;1;Appenzell Ausserrhoden;15;1513;Herisau, Trogen5;55'178;243;227;Deutsch
AI;1;Appenzell Innerrhoden;16;1513;Appenzell;16'105;173;93;Deutsch
BL;1;Basel-Landschaft;13;1501;Liestal;287'023;518;554;Deutsch
BS;1;Basel-Stadt;12;1501;Basel;193'908;37;5241;Deutsch
BE;2;Bern;02;1353;Bern;1'031'126;5'959;173;Deutsch, Französisch
FR;2;Freiburg;10;1481;Freiburg;315'074;1'671;189;Französisch, Deutsch
GE;2;Genf;25;1815;Genf;495'249;282;1756;Französisch
GL;2;Glarus;08;1352;Glarus;40'349;685;59;Deutsch
GR;2;Graubünden;18;1803;Chur;197'888;7'105;28;Deutsch, Rätoromanisch, Italienisch
JU;2;Jura;26;1979;Delsberg;73'290;838;87;Französisch
LU;2;Luzern;03;1332;Luzern;406'506;1'493;272;Deutsch
NE;2;Neuenburg;24;1815;Neuenburg;177'964;803;222;Französisch
NW;1;Nidwalden;07;7 1291;Stans;42'969;276;156;Deutsch
OW;1;Obwalden;06;7 1291;Sarnen;37'575;491;77;Deutsch
SH;2;Schaffhausen;14;1501;Schaffhausen;81'351;298;273;Deutsch
SZ;2;Schwyz;05;7 1291;Schwyz;157'301;908;173;Deutsch
SO;2;Solothurn;11;1481;Solothurn;271'432;791;343;Deutsch
SG;2;Gallen;17;1803;St. Gallen;504'686;2'026;249;Deutsch
TI;2;Tessin;21;1803;Bellinzona;353'709;2'812;126;Italienisch
TG;2;Thurgau;20;1803;Frauenfeld;269'731;991;272;Deutsch
UR;2;Uri;04;7 1291;Altdorf;36'299;1'077;34;Deutsch
VD;2;Waadt;22;1803;Lausanne;793'129;3'212;247;Französisch
VS;2;Wallis;23;1815;Sitten;341'463;5'224;65;Französisch, Deutsch
ZG;2;Zug;09;1352;Zug;125'421;239;525;Deutsch
ZH;2;Zürich;01;1351;Zürich;1'504'346;1'729;870;Deutsch
